,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,MPATH_HYBRID CNOTs,MPATH_HYBRID Depth,MPATH_HYBRID Time,MPATH_HYBRID SABRE Uptime,"Layer Density, mean","Layer Density, std.","Child Distance, mean","Child Distance, std.",A* CNOTs,A* Depth,A* Time
4mod5-v1_23.qasm,51,98,0.026428503000033743,45,77,0.3587095269999736,45,77,0.5270092090000844,0.0,0.7804878048780488,0.4139161645970035,1.064516129032258,0.2456701001891583,39,82,0.0070960460000151215
sf_274.qasm,540,969,0.3942862569999761,435,766,5.945384851999961,435,755,13.933988156000055,0.0,0.7706422018348624,0.5181659173006583,1.5611940298507463,2.4667916938525396,444,898,0.032354706999967675
4mod5-v0_18.qasm,42,90,0.0297691109999505,39,70,0.13279797599989251,39,70,0.19414655599996422,0.0,0.775,0.4175823272122517,1.0,0.0,42,74,0.010439457000074981
majority_239.qasm,420,767,0.3252684459999955,372,589,6.065695484999992,351,600,3.933827392000012,0.0,0.7761627906976745,0.5331033945803967,1.8339622641509434,3.3896036054898198,378,777,0.020194700000047305
hwb5_53.qasm,954,1757,0.5278539390000105,759,1321,9.240860199000053,783,1370,9.416540488000123,0.07783641160949868,0.7889182058047494,0.4794275843264963,1.4790619765494137,1.9700386763826911,822,1577,0.05162313499999982
ham7_104.qasm,261,434,0.14890514800003984,198,318,2.857923264999954,216,350,1.7288615469999513,0.1945945945945946,0.8054054054054054,0.49316733958733155,1.3986486486486487,1.4965720509147749,192,366,0.014202367000052618
rd53_135.qasm,216,397,0.12723695999989104,177,300,5.767391666000094,192,289,4.2065755510000145,0.37735849056603776,0.8427672955974843,0.5555278660873858,1.621212121212121,3.5022293831178857,186,349,0.012207167000042318
rd32_270.qasm,57,111,0.02860859299994445,57,96,0.05479443900003389,57,96,0.08154595299993161,0.0,0.7659574468085106,0.42339890940707237,1.0,0.0,45,90,0.0074908529998083395
cm152a_212.qasm,903,1504,0.522084839999934,798,1067,16.549002545999883,759,1176,15.956856762999905,0.07163742690058479,0.7777777777777778,0.5410383970741005,1.830188679245283,3.2478489198097837,804,1460,0.05198426199990536
4gt10-v1_81.qasm,111,175,0.06215635399985331,87,124,1.0443350349999037,87,124,1.1086973649998981,0.0,0.7857142857142857,0.48968961431436037,1.3846153846153846,1.4538258036833782,93,186,0.0093562860001839
qft_10.qasm,69,162,0.05819099300015296,93,124,2.406946457999993,78,153,0.1423271640001076,0.7777777777777778,1.4285714285714286,0.8491692619108098,1.5393258426966292,0.49845107893974905,96,165,0.025280512999870552
rd53_251.qasm,957,1675,0.684181910999996,798,1348,14.271270447999996,774,1197,11.341835855,0.0898876404494382,0.7921348314606742,0.531634054907444,1.6263345195729537,2.7953730991661017,765,1539,0.03439942499994686
squar5_261.qasm,1596,2549,0.9143612839998241,1413,1737,29.323859975999994,1422,1886,15.526276169000084,0.2402287893231649,0.8284080076263107,0.5567108922183257,1.9965397923875432,4.7123717044788815,1383,2310,0.07934899100018811
4gt4-v0_78.qasm,168,318,0.09643454700017173,138,244,1.4366612060000534,138,244,1.4088413770000443,0.0,0.7956204379562044,0.5001997576353815,1.462962962962963,2.0612200896283537,156,311,0.011568695000050866
4gt13-v1_93.qasm,42,78,0.02343843999983619,36,63,0.19753938999997445,36,63,0.194674483999961,0.0,0.7692307692307693,0.5292248061679563,1.4827586206896552,1.793103448275862,36,83,0.0067622940000546805
4gt4-v0_73.qasm,312,551,0.17525416699982088,261,402,2.004009162999864,261,392,2.0653673879999133,0.0,0.788546255506608,0.504823518970107,1.4606741573033708,1.9317348538326709,237,473,0.013072410999939166
one-two-three-v0_97.qasm,204,341,0.1139000319999468,165,225,2.7876296879999245,165,229,2.6295951160000186,0.0,0.7852760736196319,0.5165046669901641,1.3937007874015748,1.4909568893515635,180,335,0.012573142999826814
rd84_142.qasm,252,287,0.23857971099982933,240,256,28.336096008999903,258,283,0.2498147839999092,1.0,1.4,0.9165151389911678,1.5620915032679739,2.581558695597815,225,320,0.013835887999903207
4mod7-v1_96.qasm,105,204,0.05452760999992279,90,172,0.9470701230000032,90,173,1.084509804999925,0.0,0.7659574468085106,0.5141721690891307,1.3380281690140845,1.3834399051052026,93,192,0.009844854999983
f2_232.qasm,891,1537,0.6252369970000018,678,1044,10.729558484000108,690,1041,10.894584762000022,0.0,0.7859281437125748,0.5338647428880741,1.8508604206500956,3.469717979075904,837,1444,0.043620336999993015
sym9_146.qasm,240,341,0.14529498100000637,219,275,16.497729167999978,231,317,0.21711836000008589,1.0,1.1653543307086613,0.6846319722609184,1.3310344827586207,1.3997791570337483,207,345,0.013395487000025241
alu-v4_36.qasm,81,162,0.045519626999976026,69,133,0.07876750800005539,75,139,0.11196870699995998,0.25757575757575757,0.7727272727272727,0.4860307555256194,1.2448979591836735,1.1871869038570602,66,126,0.007227558999829853
alu-bdd_288.qasm,63,108,0.032707669999808786,60,93,0.5324327480000193,60,98,4.132568939000066,0.0,0.7916666666666666,0.45452967144315476,1.4444444444444444,2.465815669019127,60,99,0.012642053999798009
4gt5_75.qasm,60,111,0.03076256999997895,63,86,0.391225668000061,63,88,0.3798946220001653,0.0,0.8085106382978723,0.5314891913530552,1.5405405405405406,1.7335262390080621,48,106,0.006764963000023272
alu-v2_32.qasm,105,210,0.05855925700006992,93,172,0.6302720900000622,93,172,0.6989895889998934,0.0,0.782608695652174,0.5070392952039391,1.352112676056338,1.3850163119931853,87,188,0.00830181299988908
qft_16.qasm,222,290,0.2286655969999174,411,327,17.424075352000045,273,319,0.30276635199993507,0.9428571428571428,2.2857142857142856,1.2999215046945516,1.5397489539748954,0.49841751640356874,267,324,0.04268657299985534
decod24-v2_43.qasm,33,61,0.016402013000060833,27,46,0.20918824099999256,27,46,0.2398612540000613,0.0,0.7333333333333333,0.4422166387140533,1.0,0.0,27,61,0.006611912999915148
cnt3-5_180.qasm,351,474,0.20417590100009875,297,398,14.626265446999923,357,461,2.523464005999813,0.7655502392344498,1.0287081339712918,0.7182772824801992,1.3981042654028435,1.5216591744399142,294,496,0.0183560769999076
sqrt8_260.qasm,2271,3780,1.2255732450000778,1938,2685,38.98636770100006,1980,2809,37.262212503,0.05907172995780591,0.7920433996383364,0.5474776249072619,2.341463414634146,5.690641680554697,2091,3640,0.1048670409998067
4gt13_92.qasm,42,72,0.025063767999881748,36,73,0.2993970889999673,36,73,0.32748775599998226,0.0,0.7894736842105263,0.4677997061745046,1.5,1.679710859472121,36,77,0.006940355000097043
cnt3-5_179.qasm,144,149,0.11036770300006538,126,82,7.1415606309999475,141,153,0.16381165499979033,1.0,1.3934426229508197,0.9103897296337587,2.125,4.985917668794783,153,176,0.012879710999868621
ex2_227.qasm,453,795,0.24252034999994976,363,537,4.639022522999994,366,532,5.291629321999835,0.016901408450704224,0.7746478873239436,0.514499157490969,1.9926739926739927,4.23399176385082,375,760,0.018925079999917216
rd73_140.qasm,171,230,0.09810945599997467,147,203,7.962627172999873,168,241,0.15333957799998643,1.0,1.1304347826086956,0.6791521457310136,1.3106796116504855,1.3583908685353556,141,197,0.009924803000103566
mod5d2_64.qasm,54,91,0.02211064800007989,51,74,0.03600286799996866,51,74,0.057148507999954745,0.0,0.78125,0.41339864235384227,1.0,0.0,33,68,0.005935086999897976
wim_266.qasm,708,1179,0.4821348929999658,603,904,10.5213972680001,609,945,14.59178494799994,0.09533073929961089,0.830739299610895,0.5856160397761396,1.624413145539906,2.782366550750996,624,1124,0.02953673100000742
rd53_133.qasm,426,744,0.2384421060000932,333,528,6.599844302000065,360,626,4.745392186000117,0.2996941896024465,0.7828746177370031,0.5462804386142903,1.8313725490196078,3.162122034831675,372,677,0.0201040690001264
4gt4-v0_72.qasm,162,316,0.09070364200010772,141,239,1.8156410410001627,150,275,1.0933115599998473,0.35766423357664234,0.8248175182481752,0.5523382310187624,1.4642857142857142,2.0784977895644943,150,290,0.010289724999893224
