,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Consolidated Blocks,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Consolidated Blocks,A* CNOTs,A* Depth,A* Time,A* Memory,A* Consolidated Blocks,ForeSight-D CNOTs,ForeSight-D Depth,ForeSight-D Time,ForeSight-D ALAP Proportion,ForeSight-D ASAP Proportion,ForeSight-D Consolidated Blocks,TKET CNOTs,TKET Depth,TKET Time,TKET Consolidated Blocks,qubits
one-two-three-v0_98.qasm,65,17,103,0.31221220199995514,4,20,99,0.5566268799998397,1,25,103,0.3240823950000049,0,1,12,97,1.2330611850002242,47,35,6,63,150,0.7180086110001866,2,16
4gt13_90.qasm,53,33,109,0.30830132000028243,7,36,100,0.608437571000195,3,11,85,0.28433413699985977,0,4,10,71,1.1472563070001343,34,31,7,34,112,0.5832290959997408,5,16
ex3_229.qasm,175,91,342,1.0116147349999665,19,65,267,3.158245346000058,6,124,342,0.9090725159999238,0,7,50,262,8.178182246999768,120,106,22,134,358,2.2826234639996983,4,16
ham3_102.qasm,11,-2,13,0.04271530200003326,1,-2,13,0.053136201999677724,1,-2,13,0.08561293999991904,0,1,-2,13,0.07473707600001944,11,2,1,-2,11,0.09848082200005592,0,16
adr4_197.qasm,1498,1176,3090,8.805175258999952,186,1346,2908,61.04404238799998,36,1099,2787,7.725938752999809,0,61,594,2148,195.40060770200034,975,864,136,2006,3597,30.49221566999995,80,16
one-two-three-v1_99.qasm,59,26,115,0.3146856180001123,5,25,99,0.5938935750000383,1,26,103,0.3483900179999182,0,4,-3,66,1.321709866000674,45,31,6,33,108,0.4797193079994031,0,16
mini-alu_167.qasm,126,95,290,0.8399662700003319,17,97,264,3.7043734830003814,9,78,237,0.6324920549996023,0,3,15,170,4.0994242860006125,85,77,14,114,262,1.7357656080002926,4,16
alu-v2_30.qasm,223,82,364,0.9954033979993255,9,65,334,2.154297514999598,2,70,348,1.0482309429999077,0,4,51,308,7.040120483999999,150,135,9,152,418,2.4957760179995603,8,16
4gt5_76.qasm,46,21,82,0.2621219259999634,6,18,66,0.4952774609992048,2,22,71,0.30928559200037853,0,1,5,59,0.6942832790000466,30,26,3,33,101,0.6641214330002185,8,16
rd53_131.qasm,200,86,345,1.0400517580001178,14,113,354,3.161963010999898,2,137,391,1.2101186410000082,0,16,70,314,8.709345909000149,147,114,20,167,416,2.830499202000283,12,16
mini_alu_305.qasm,77,49,143,0.4273442479998266,7,38,96,4.206472371999553,2,56,131,0.43748758299989277,0,3,23,84,5.714011501000641,41,28,7,96,207,4.94073872700028,9,16
4mod7-v0_94.qasm,72,10,98,0.45631279999997787,1,8,96,0.559392520000074,2,10,95,0.33301860299980035,0,1,3,87,1.5907675189992005,51,41,11,9,99,0.4683705249999548,2,16
z4_268.qasm,1343,1118,2874,8.308811795999645,182,1036,2346,62.83816152399959,37,1083,2514,7.032689704999939,0,41,606,1994,171.95628168199983,900,744,123,1280,2885,22.308902622999994,66,16
cm82a_208.qasm,283,144,501,1.4710230229993613,28,177,483,9.70629629799987,9,174,502,1.4406608830004188,0,14,100,409,17.79933575099949,206,131,32,313,688,4.646961487000226,25,16
aj-e11_165.qasm,69,24,117,0.31616703200052143,3,27,112,0.795619276999787,2,52,134,0.387323390000347,0,1,14,91,1.2138924119999501,58,28,1,64,158,0.8037011100004747,4,16
alu-v0_26.qasm,38,6,53,0.14831512500040844,0,6,52,0.34903249199942366,0,9,51,0.21043664799981343,0,0,4,48,0.5638128780001352,33,16,1,22,75,0.30876825300038035,0,16
sym6_316.qasm,123,101,247,0.7372607639999842,14,94,202,2.613937361000353,6,119,248,0.8201645500002996,0,7,70,181,7.337188947999493,81,54,8,149,261,2.203489243000149,7,16
decod24-bdd_294.qasm,32,16,66,0.18289504400036094,3,12,56,0.43073980000008305,2,15,64,0.2159298389997275,0,2,9,50,0.47881926099944394,26,14,0,19,70,0.40022275899991655,5,16
